source_id,actor_or_topic,publisher,title,url,status,http_status,content_type,local_archive_path,sha256,bytes,note
SRC-CP-HANDALA-2026,Handala / Void Manticore,Check Point Research,Handala Hack - Unveiling Group Modus Operandi,https://research.checkpoint.com/2026/handala-hack-unveiling-groups-modus-operandi/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/01-check-point-research-handala-hack-unveiling-group-modus-operandi.html,b4f9a1dacf03d005d8cf80d234a84b038400d082894ab4a84bd039bbeef55f18,195114,Final URL: https://research.checkpoint.com/2026/handala-hack-unveiling-groups-modus-operandi/; bytes=195114
SRC-PUSH-STRYKER-HANDALA,Handala / Void Manticore,Push Security,Stryker Handala Report,https://pushsecurity.com/blog/stryker-handala-report,downloaded,200,text/html,research-downloads/2026-05-14/02-push-security-stryker-handala-report.html,640e84c0a013670c773776bdfff4dc4c91a2bab4673dc750c9ddafd977efb67d,158116,Final URL: https://pushsecurity.com/blog/stryker-handala-report; bytes=158116
SRC-CP-MOIS-CRIME,Handala / Void Manticore,Check Point Research,Iranian MOIS Actors and the Cyber Crime Connection,https://research.checkpoint.com/2026/iranian-mois-actors-the-cyber-crime-connection/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/03-check-point-research-iranian-mois-actors-and-the-cyber-crime-connection.html,a91f642f91d7ea97d536aa29c5633f796c01de80b7511f2d9886717cd5e63792,187284,Final URL: https://research.checkpoint.com/2026/iranian-mois-actors-the-cyber-crime-connection/; bytes=187284
,Handala / Void Manticore,BeyondTrust,Threat Advisory Operation Epic Fury,https://www.beyondtrust.com/blog/entry/threat-advisory-operation-epic-fury,failed,,,,,,HTTPError: HTTP Error 403: Forbidden
,Handala / Void Manticore,DOJ/FBI,Case 1:26-mj-00683-CDA Affidavit in Support of Seizure Warrant,,not_found,,,,,,No public URL identified in quick search.
,Handala / Void Manticore,INCD,Storm-0842 / Handala advisory,,not_found,,,,,,No public URL identified in quick search.
,UNC1860 / Scarred Manticore,Trellix,The Iranian Cyber Capability 2026,https://www.trellix.com/blogs/research/the-iranian-cyber-capability-2026/,failed,,,,,,TimeoutError: The read operation timed out
SRC-MANDIANT-UNC1860,UNC1860 / Scarred Manticore,Mandiant / Google Cloud,UNC1860 and the Temple of Oats,https://cloud.google.com/blog/topics/threat-intelligence/unc1860-iran-middle-eastern-networks,downloaded,200,text/html; charset=utf-8,research-downloads/2026-05-14/08-mandiant-google-cloud-unc1860-and-the-temple-of-oats.html,8cab57b57720b5e27e489c5ee7c67e0040d9b8218efc1deb3cf3e0abcbee0008,356456,Final URL: https://cloud.google.com/blog/topics/threat-intelligence/unc1860-iran-middle-eastern-networks; bytes=356456
SRC-CISA-AA23-335A,UNC1860 / Scarred Manticore,CISA/FBI/NSA/EPA/INCD,IRGC-Affiliated Cyber Actors Exploit PLCs AA23-335A,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-335a,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/09-cisa-fbi-nsa-epa-incd-irgc-affiliated-cyber-actors-exploit-plcs-aa23-335a.html,f2cba3f0f0df810a9e124af6db0e897ac6533c73288860ffb55245aad8ac0b9d,105330,Final URL: https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-335a; bytes=105330
SRC-KASPERSKY-ICS-Q4-2025,MuddyWater,Kaspersky ICS CERT,APT and financial attacks on industrial organizations in Q4 2025,https://ics-cert.kaspersky.com/publications/apt-and-financial-attacks-on-industrial-organizations-in-q4-2025/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/10-kaspersky-ics-cert-apt-and-financial-attacks-on-industrial-organizations-in-q4-2025.html,9507dfdf9c0f73f3935182ede6bbad9c6e0ac95f6265a266d3602dbf80406885,152260,Final URL: https://ics-cert.kaspersky.com/publications/reports/2026/03/06/apt-and-financial-attacks-on-industrial-organizations-in-q4-2025/; bytes=152260
SRC-ESET-MUDDYWATER-SNAKES,MuddyWater,ESET,MuddyWater Snakes by the Riverbank,https://www.welivesecurity.com/en/eset-research/muddywater-snakes-riverbank/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/11-eset-muddywater-snakes-by-the-riverbank.html,3b568a4f4941fa30c3206b181849eb2b7ea679dfaa22c2340788a9e8419f40db,173530,Final URL: https://www.welivesecurity.com/en/eset-research/muddywater-snakes-riverbank/; bytes=173530
SRC-INCD-MUDDYWATER-2024,MuddyWater,INCD,Technological Advancement and Evolution of MuddyWater in 2024,https://www.gov.il/BlobFolder/reports/maddy_water_2024/en/ALERT_CERT_IL_W_1858.pdf,downloaded,200,application/pdf,research-downloads/2026-05-14/12-incd-technological-advancement-and-evolution-of-muddywater-in-2024.pdf,35dd1a83de138ba74aafc54b68f91bffc1d28f72ee26451ff9b825735f5e6464,1387323,Final URL: https://www.gov.il/BlobFolder/reports/maddy_water_2024/en/ALERT_CERT_IL_W_1858.pdf; bytes=1387323
SRC-BRANDEFENSE-MUDDYWATER-2025,MuddyWater,Brandefense,MuddyWater APT 2025,https://brandefense.io/blog/muddywater-apt-2025/,downloaded,200,text/html; charset=UTF-8,research-downloads/2026-05-14/13-brandefense-muddywater-apt-2025.html,c04128278457b2b75debfe347ca7fe1a155c9d892897aa6a0f40be043da969dd,661000,Final URL: https://brandefense.io/blog/muddywater-apt-2025/; bytes=661000
