intake_id,actor_id,report_path,report_title,intake_type,priority,upgrade_action,validation_status,notes
RINT-MUDDYWATER-2026,G0069,reports/muddywater-deep-research,MuddyWater Deep Research Intake,LLM deep research intake,High,Validate MuddyWater Fooder/MuddyViper/RMM/Sad C2/Starlink claims before promoting to actor profile and detection backlog,Needs source validation,Imported from Downloads deep-research-report.md
RINT-OILRIG-2026,G0049,reports/oilrig-magic-hound-deep-research,OilRig And Magic Hound Deep Research Intake,LLM deep research intake,High,Validate OilRig cloud API C2 downloader and Israeli telecom/government claims before promoting to source/evidence/tool rows,Needs source validation,Imported from Downloads deep-research-report (1).md
RINT-MAGICHOUND-2026,G0059,reports/oilrig-magic-hound-deep-research,OilRig And Magic Hound Deep Research Intake,LLM deep research intake,High,Validate APT35/Magic Hound PowerStar phishing and Israeli VIP targeting claims before promoting,Needs source validation,Imported from Downloads deep-research-report (1).md
RINT-PIONEERKITTEN-2026,PIONEERKITTEN,reports/pioneer-kitten-deep-research,Pioneer Kitten Deep Research Intake,LLM deep research intake,High,Validate CISA AA24-241A edge exploitation and ransomware handoff claims and add source-backed detection backlog items,Needs source validation,Imported from Downloads deep-research-report (2).md
RINT-APT39-2026,G0087,reports/apt39-arid-viper-unc3890-cyber-toufan-deep-research,APT39 Arid Viper UNC3890 Cyber Toufan Deep Research Intake,LLM deep research intake,Medium,Validate recent APT39 activity status and decide whether profile remains operational priority or watchlist,Needs source validation,Imported from Downloads deep-research-report (3).md
RINT-ARIDVIPER-2026,G1028,reports/apt39-arid-viper-unc3890-cyber-toufan-deep-research,APT39 Arid Viper UNC3890 Cyber Toufan Deep Research Intake,LLM deep research intake,High,Validate Arid Viper mobile spyware and Israeli military/public-safety targeting claims before updating mobile ATT&CK coverage,Needs source validation,Imported from Downloads deep-research-report (3).md
RINT-UNC3890-2026,UNC3890,reports/apt39-arid-viper-unc3890-cyber-toufan-deep-research,APT39 Arid Viper UNC3890 Cyber Toufan Deep Research Intake,LLM deep research intake,Medium,Validate whether UNC3890 has post-2022 activity or should remain as a watchlist/gap profile,Needs source validation,Imported from Downloads deep-research-report (3).md
RINT-CYBERTOUFAN-2026,CYBERTOUFAN,reports/apt39-arid-viper-unc3890-cyber-toufan-deep-research,APT39 Arid Viper UNC3890 Cyber Toufan Deep Research Intake,LLM deep research intake,High,Validate Cyber Toufan supplier and persona-claim reporting before promotion to actor page or persona register,Needs source validation,Imported from Downloads deep-research-report (3).md
RINT-APT35-OILRIG-2026,G0059,reports/apt35-oilrig-israel-deep-research,APT35 And OilRig Israel Deep Research Intake,LLM deep research intake,High,Validate APT35 Israeli journalist/tech-expert targeting claims and OAuth/cloud-phishing detections,Needs source validation,Imported from Downloads deep-research-report (4).md
RINT-OILRIG-ISRAEL-2026,G0049,reports/apt35-oilrig-israel-deep-research,APT35 And OilRig Israel Deep Research Intake,LLM deep research intake,High,Validate OilRig Israeli critical-infrastructure downloader claims against ESET and MITRE before promotion,Needs source validation,Imported from Downloads deep-research-report (4).md
