actor_id,primary_name,aliases,assessed_sponsor,actor_type,relevance_to_israel_government,confidence,primary_motivations,typical_targets,notes
G0069,MuddyWater,"Mango Sandstorm; Boggy Serpens (Microsoft current); Static Kitten; Seedworm; MERCURY (Microsoft retired 2023); TEMP.Zagros; TA450 (Proofpoint); Earth Vetala (Trend Micro)",Iran MOIS-aligned,State-sponsored intrusion set,High,High,Espionage and access operations,"Government; local government; telecom; defense; energy; Middle East organizations","Relevant for public-sector phishing, RMM abuse, PowerShell, and credential collection hunting."
G0049,OilRig,"APT34; Helix Kitten; Hazel Sandstorm; COBALT GYPSY; Crambus",Iran state-linked,State-sponsored intrusion set,High,High,Espionage and long-term access,"Government; critical infrastructure; technology; telecom; Israeli organizations","Relevant for webshell, credential access, and custom downloader detection."
G0059,Magic Hound,"APT35; Charming Kitten; TA453; Phosphorus; Mint Sandstorm; COBALT ILLUSION",Iran state-linked,State-sponsored intrusion set,High,High,Credential access and espionage,"Government; defense; academia; policy; dissidents; Middle East targets","Relevant for spearphishing, fake login pages, identity protection, and mailbox monitoring."
G1044,APT42,"UNC788; Charming Kitten-related reporting; Mint Sandstorm overlaps in some vendor taxonomies",Iran-sponsored,State-sponsored intrusion set,High,High,Espionage and surveillance,"Middle East targets; government; NGOs; academia; journalists; policy entities","Track separately from APT35 where the source does so."
G1030,Agrius,"Pink Sandstorm; AMERICIUM; Agonizing Serpens; BlackShadow",Iran-aligned (MOIS-linked assessed by some sources; not firmly attributed in primary reporting),Destructive intrusion set,High,High,Wiper operations and disruptive ransomware-style attacks,"Israeli organizations; higher education; technology; public-facing services","High priority for destructive attack preparation, backup deletion, and privilege misuse detections. BiBi Wiper associated post-Oct 2023."
CYBERAV3NGERS,CyberAv3ngers,"CyberAveng3rs; Cyber Avengers; Storm-0784; Bauxite; UNC5691; Hydro Kitten; Shahid Kaveh Group; Soldiers of Solomon; Mr. Soul",Iran IRGC-CEC (Cyber-Electronic Command) / Shahid Kaveh Group — per CISA AA26-097A and OFAC Feb 2024,Hacktivist / IRGC-CEC persona,High,High,Disruption and psychological operations,"OT/ICS; water and wastewater; internet-exposed Unitronics and Rockwell PLCs; Israeli-made infrastructure","Use for OT exposure management and default-password elimination. IOControl malware (Claroty 2024) is the most operationally significant custom ICS tool attributed to this cluster."
IMPERIALKITTEN,Imperial Kitten,"Yellow Liderc; Tortoiseshell; Tortoise Shell; TA456; CURIUM; Crimson Sandstorm",IRGC-aligned in public reporting; branch unresolved,State-sponsored intrusion set,High,Medium-High,Espionage and strategic collection,"Transportation; logistics; maritime; technology; Israeli or Israel-adjacent websites","High priority for IMAPLoader, strategic web compromise, and supply-chain/logistics hunting. Imported research preserves a gap for confirmed 2024-2025 Israel-specific incidents."
PIONEERKITTEN,Pioneer Kitten,"Fox Kitten; Lemon Sandstorm; UNC757; Parisite; RUBIDIUM; Br0k3r; xplfinder",Iranian state-sponsored / Government of Iran-associated; branch unresolved,Initial access broker / state-sponsored intrusion set,High,High,"Initial access, espionage enablement, and ransomware-affiliate access monetization","Internet-facing edge appliances; critical infrastructure; Israel; Azerbaijan; UAE; education; finance; healthcare; defense","CISA AA24-241A anchors Israel relevance and ransomware-affiliate handoff model."
DARKBIT,DarkBit,"DarkBit persona; MuddyWater-linked; MERCURY-linked; DEV-1084 / Storm-1084-linked",Iran MOIS-linked through MuddyWater/MERCURY ecosystem in public reporting,Destructive extortion persona,High,Medium-High,"Pseudo-ransomware, destructive impact, influence messaging","Israeli higher education; strategic institutions; hybrid cloud environments","Track as operation/persona rather than standalone ransomware group. Technion February 2023 is the anchor case."
G1001,Lyceum,"HEXANE; Spirlin; Siamesekitten",Iranian state-sponsored; likely OilRig/MOIS-adjacent but taxonomy varies,State-sponsored intrusion set,High,Medium,Espionage and long-term access,"Telecom; ISP; oil and gas; energy; IT suppliers; Middle East including Israel","Use as OilRig-adjacent telecom and supplier threat model. Recent Israel-specific Lyceum-labeled reporting remains a collection gap."
COTTONSANDSTORM,Cotton Sandstorm,"Emennet Pasargad; Aria Sepehr Ayandehsazan (ASA); MarnanBridge; Haywire Kitten; Altoufan Team; Net Peygard Samavat",IRGC-linked / ASA front company per FBI-Treasury-INCD Oct 2024 joint advisory,Influence and cyber persona,High,Medium-High,Cyber-enabled influence and disruptive operations,"Israeli public and private sector; elections; media; public opinion targets","Track influence-operation and destructive-claim patterns separately from pure intrusion evidence. Source SRC-FBI-EMENNET-2024 and SRC-CP-WEZRAT anchor WezRat infostealer to this cluster."
G0087,APT39,"Chafer; Remix Kitten; ITG07; Rana Intelligence Computing",Iran MOIS via Rana Intelligence Computing per U.S. Treasury and MITRE,State-sponsored intrusion set,Medium,High,Espionage and surveillance,"Telecom; travel; hospitality; government; IT; identity-rich systems","Strategically relevant to Israeli telecom/travel exposure, but imported research preserves a gap for specific Israeli victim incidents in recent public primary reporting."
G1028,APT-C-23,"Arid Viper; Desert Falcon; Mantis; TAG-63; Grey Karkadann; Renegade Jackal (CrowdStrike)",Hamas-linked / Palestinian regional actor,Regional espionage group,High,Medium-High,Espionage and mobile surveillance,"Israeli military-related targets; Middle East entities; mobile users","Relevant for mobile security, social engineering, and persona-based targeting. Two-tailed Scorpion removed — not a confirmed alias in primary sources."
UNC3890,UNC3890,"Mandiant UNC3890",Suspected Iran-linked,Activity cluster,Medium-High,Medium,Espionage and credential collection,"Israeli shipping; aviation; government; energy; healthcare","Treat as activity cluster until stronger attribution is published."
CYBERTOUFAN,Cyber Toufan,"Cyber Toufan Operations",Iran-aligned persona / hacktivist,Persona,Medium-High,Medium,"Disruption, leaks, and influence","Israeli public and private organizations","Track claims carefully; require corroboration before treating as confirmed compromise."
HANDALA,Void Manticore / Handala,"Handala Hack; Storm-0842; BANISHED KITTEN; Dune; COBALT MYSTIQUE; Red Sandstorm; Karma; Homeland Justice",Iran-aligned persona / MOIS-linked cluster in public reporting,Destructive intrusion cluster with public personas,High,Medium-High,"Disruption, leaks, wiper activity, and psychological operations","Israeli organizations; civilian-impact sectors; healthcare; public messaging targets","Model Void Manticore as the cluster and Handala/Karma/Homeland Justice as public personas per MITRE G1055 and Check Point reporting. Use incident-level caution; claims require corroboration."
LEBANESECEDAR,Lebanese Cedar,"Volatile Cedar",Lebanon-linked / Hezbollah-linked in public reporting,Regional espionage group,Medium,Medium,Espionage and web compromise,"Telecom; hosting; government-adjacent infrastructure","Relevant as adjacent regional threat; not all activity is Israel-specific."
WIRTE,WIRTE,"Ashen Lepus; Gaza Cybergang-linked reporting",Hamas-affiliated in public reporting,Regional espionage / disruptive cluster,High,Medium-High,"Espionage, phishing, disruptive wiper activity","Israeli hospitals; municipalities; regional government and legal/financial entities","Added as high-priority Palestinian-aligned watch actor due to SameCoin-linked disruptive activity against Israel."
TA402,TA402,"Molerats; Gaza Cybergang; Extreme Jackal; Frankenstein",Palestinian-aligned in public reporting,Regional espionage group,Medium-High,Medium-High,Espionage and targeted phishing,"Middle East government; diplomatic; regional policy entities","Relevant for trusted-account phishing and IronWind-style attachment chains."
UNC1860,UNC1860,"No confirmed vendor alias. Associated tooling: TEMPLEDOOR; TEMPLEPLAY; TEMPLEDROP; PipeSnoop; CRYPTOSLAY",Iran MOIS-linked in public reporting,State-sponsored access and persistence cluster,High,High,"Persistent access, initial access enablement, passive backdoors, espionage support","Government; telecommunications; Middle East high-priority networks; regional suppliers","Temple of Oats is the Mandiant report title, not an actor alias. Mandiant and Malpedia describe specialized tooling and passive backdoors supporting access handoff into disruptive operations."
SCARREDMANTICORE,Scarred Manticore,"Storm-0861 (Microsoft); UNC1448 (Mandiant some reporting); LIONTAIL cluster",Iran MOIS-aligned per Check Point and Microsoft reporting,State-sponsored initial access and persistence cluster,High,High,"Initial access enablement; persistent IIS-native-module backdoors; handoff to Void Manticore for destructive operations","Government; telecommunications; critical infrastructure; Middle East high-priority networks","Critical gap: Check Point and MITRE G1055 document Scarred Manticore as initial access provider handing off to Void Manticore/Handala for destructive ops. Primary tooling: Liontail IIS native module framework."
