candidate_id,feed_id,actor_id,matched_terms,item_type,title,published_or_modified,url,relevance_reason,recommended_action,status,review_notes
UPD-CISA-ADV-SURFACE-b687e1a326,FEED-CISA-ADVISORIES,,ivanti,Government advisory,CISA Adds One Known Exploited Vulnerability to Catalog,"Thu, 11 Jun 26 12:00:00 +0000",https://www.cisa.gov/news-events/alerts/2026/06/11/cisa-adds-one-known-exploited-vulnerability-catalog,CISA advisory matched repository-relevant surfaces but not a tracked actor name.,Review for source-register addition and surface/capability routing; avoid attribution without source evidence.,Needs analyst review,
UPD-CISA-ADV-SURFACE-718ab308d6,FEED-CISA-ADVISORIES,,check point,Government advisory,CISA Adds Two Known Exploited Vulnerabilities to Catalog,"Mon, 08 Jun 26 12:00:00 +0000",https://www.cisa.gov/news-events/alerts/2026/06/08/cisa-adds-two-known-exploited-vulnerabilities-catalog,CISA advisory matched repository-relevant surfaces but not a tracked actor name.,Review for source-register addition and surface/capability routing; avoid attribution without source evidence.,Needs analyst review,
UPD-CISA-ADV-SURFACE-ca68a80872,FEED-CISA-ADVISORIES,,fortinet,Government advisory,CISA Urges Hardening Fortinet Devices After Reports of Credential Exposure,"Thu, 18 Jun 26 12:00:00 +0000",https://www.cisa.gov/news-events/alerts/2026/06/18/cisa-urges-hardening-fortinet-devices-after-reports-credential-exposure,CISA advisory matched repository-relevant surfaces but not a tracked actor name.,Review for source-register addition and surface/capability routing; avoid attribution without source evidence.,Needs analyst review,
UPD-CISA-ADV-SURFACE-d277e9bf8c,FEED-CISA-ADVISORIES,,rockwell,Government advisory,Rockwell Automation CompactLogix,"Tue, 16 Jun 26 12:00:00 +0000",https://www.cisa.gov/news-events/ics-advisories/icsa-26-167-04,CISA advisory matched repository-relevant surfaces but not a tracked actor name.,Review for source-register addition and surface/capability routing; avoid attribution without source evidence.,Needs analyst review,
UPD-CISA-ADV-SURFACE-59af5c3f01,FEED-CISA-ADVISORIES,,rockwell,Government advisory,Rockwell Automation FLEX I/O EtherNet/IP Adapters,"Tue, 16 Jun 26 12:00:00 +0000",https://www.cisa.gov/news-events/ics-advisories/icsa-26-167-05,CISA advisory matched repository-relevant surfaces but not a tracked actor name.,Review for source-register addition and surface/capability routing; avoid attribution without source evidence.,Needs analyst review,
UPD-CISA-ADV-SURFACE-0d2a248ba7,FEED-CISA-ADVISORIES,,rockwell,Government advisory,Rockwell Automation FactoryTalk Analytics PavilionX,"Tue, 16 Jun 26 12:00:00 +0000",https://www.cisa.gov/news-events/ics-advisories/icsa-26-167-01,CISA advisory matched repository-relevant surfaces but not a tracked actor name.,Review for source-register addition and surface/capability routing; avoid attribution without source evidence.,Needs analyst review,
UPD-CISA-ADV-SURFACE-b230769980,FEED-CISA-ADVISORIES,,rockwell,Government advisory,Rockwell Automation FactoryTalk Historian Site Edition,"Thu, 18 Jun 26 12:00:00 +0000",https://www.cisa.gov/news-events/ics-advisories/icsa-26-169-03,CISA advisory matched repository-relevant surfaces but not a tracked actor name.,Review for source-register addition and surface/capability routing; avoid attribution without source evidence.,Needs analyst review,
UPD-CISA-ADV-SURFACE-790a63ac4c,FEED-CISA-ADVISORIES,,rockwell,Government advisory,Rockwell Automation Logix 5370 & 5570 Controllers Vulnerable To Denial of Service Via CIP,"Tue, 16 Jun 26 12:00:00 +0000",https://www.cisa.gov/news-events/ics-advisories/icsa-26-167-03,CISA advisory matched repository-relevant surfaces but not a tracked actor name.,Review for source-register addition and surface/capability routing; avoid attribution without source evidence.,Needs analyst review,
UPD-CISA-ADV-SURFACE-a532b41623,FEED-CISA-ADVISORIES,,rockwell,Government advisory,Rockwell Automation RSLinx ,"Tue, 16 Jun 26 12:00:00 +0000",https://www.cisa.gov/news-events/ics-advisories/icsa-26-167-02,CISA advisory matched repository-relevant surfaces but not a tracked actor name.,Review for source-register addition and surface/capability routing; avoid attribution without source evidence.,Needs analyst review,
UPD-CISA-ADV-SURFACE-a4eb115e85,FEED-CISA-ADVISORIES,,hmi,Government advisory,Schneider Electric Modicon Network Managed Switches,"Tue, 09 Jun 26 12:00:00 +0000",https://www.cisa.gov/news-events/ics-advisories/icsa-26-160-01,CISA advisory matched repository-relevant surfaces but not a tracked actor name.,Review for source-register addition and surface/capability routing; avoid attribution without source evidence.,Needs analyst review,
UPD-KEV-CVE-2026-10520,FEED-CISA-KEV,,ivanti,Known exploited vulnerability,CVE-2026-10520 - Ivanti Sentry OS Command Injection Vulnerability,2026-06-11,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,"Product or description overlaps repository edge, OT, identity, remote-access, or regional-threat surfaces.",Map to Surface And Capability Matrix first; only create actor linkage if a primary source reports actor use.,Needs exposure review,Unknown
UPD-CONNECTOR-FEED-MISP-OPTIONAL,FEED-MISP-OPTIONAL,,,Optional connector status,MISP events,2026-06-22,https://www.misp-project.org/openapi/,Local/community MISP instance can be used for enrichment when MISP_API_KEY is configured.,"Keep API keys in local environment or GitHub Actions secrets. Commit only reviewed summaries, not raw private feed data.",Not configured,Expected secret/env var: MISP_API_KEY
UPD-MITRE-G0049-60c08f71f0,FEED-MITRE-ATTACK-ENTERPRISE,G0049,APT34; COBALT GYPSY; Crambus; Hazel Sandstorm; Helix Kitten; OilRig,ATT&CK intrusion-set taxonomy update,OilRig,2026-05-12,https://attack.mitre.org/groups/G0049,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-G0059-2eecb5256c,FEED-MITRE-ATTACK-ENTERPRISE,G0059,APT35; COBALT ILLUSION; Charming Kitten; Magic Hound; Mint Sandstorm; Phosphorus; TA453,ATT&CK intrusion-set taxonomy update,Magic Hound,2026-05-12,https://attack.mitre.org/groups/G0059,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-G0069-03689cb0da,FEED-MITRE-ATTACK-ENTERPRISE,G0069,Mango Sandstorm; MuddyWater; Seedworm; Static Kitten; TEMP.Zagros,ATT&CK intrusion-set taxonomy update,MuddyWater,2026-05-12,https://attack.mitre.org/groups/G0069,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-G0087-01a9c7eebf,FEED-MITRE-ATTACK-ENTERPRISE,G0087,APT39; Chafer; ITG07; Remix Kitten,ATT&CK intrusion-set taxonomy update,APT39,2024-04-11,https://attack.mitre.org/groups/G0087,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-G1001-14a09dbf66,FEED-MITRE-ATTACK-ENTERPRISE,G1001,HEXANE; Lyceum; Siamesekitten; Spirlin,ATT&CK intrusion-set taxonomy update,HEXANE,2026-05-12,https://attack.mitre.org/groups/G1001,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-G1028-581b0024c5,FEED-MITRE-ATTACK-ENTERPRISE,G1028,APT-C-23; Arid Viper; Desert Falcon; Grey Karkadann; Mantis; TAG-63,ATT&CK intrusion-set taxonomy update,APT-C-23,2024-11-17,https://attack.mitre.org/groups/G1028,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
UPD-MITRE-G1030-e96f8e578d,FEED-MITRE-ATTACK-ENTERPRISE,G1030,AMERICIUM; Agonizing Serpens; Agrius; BlackShadow; Pink Sandstorm,ATT&CK intrusion-set taxonomy update,Agrius,2024-08-29,https://attack.mitre.org/groups/G1030,"Existing actor appears in MITRE ATT&CK Enterprise STIX. Review modified date, aliases, descriptions, and technique references for drift.","Compare against data/actors.csv, data/ttps.csv, and actor profile aliases before changing taxonomy.",Needs analyst review,
