metric_id,metric_name,scope,value,unit,measurement_date,owner,notes
MET-001,Mean detection readiness level,Detection backlog,4.75,DRL,2026-05-14,Detection Lead,Average of current sample detections; production target is DRL-9 for deployed analytics.
MET-002,ATT&CK mappings at M3 or better,Technique mapping,14,count,2026-05-14,CTI Lead,Only M3/M4 rows should be counted as defensive coverage.
MET-003,Evidence records with claim IDs,Evidence register,27,count,2026-05-15,CTI Lead,Expanded claim backbone; continue until every major actor-page assertion has an evidence ID.
MET-004,Persona claims requiring corroboration,Persona claims register,3,count,2026-05-14,Comms / Legal,Tracks public claims separately from confirmed incidents.
MET-005,Sources past review date,Source register,0,count,2026-05-14,CTI Lead,Calculated by scripts/check_source_freshness.py using repository review cadence.
MET-006,Broken or unavailable download targets,Research download manifest,10,count,2026-05-14,CTI Lead,"Includes failed, failed_placeholder, and not_found records in data/research-downloads.csv."
MET-007,Detections without positive tests,Detection backlog,0,count,2026-05-15,Detection Lead,All four sample detections have committed synthetic positive fixture tests; real tenant/platform replay remains outstanding.
MET-008,Detections without negative tests,Detection backlog,0,count,2026-05-15,Detection Lead,All four sample detections have committed synthetic negative fixture tests; real benign baseline replay remains outstanding.
MET-009,Actors without current 2024+ source,Actor register,4,count,2026-05-14,CTI Lead,"Watchlist estimate for actors needing recency review: APT39, Lebanese Cedar, UNC3890, Lyceum."
MET-010,Detections with SOC triage coverage,Detection backlog,4,count,2026-05-14,SOC Lead,Generic SOC triage playbooks cover the four sample detections; rule-specific triage still required for production.
MET-011,Detection backlog rows with concrete DRL evidence packs,Detection backlog,4,count,2026-05-15,Detection Lead,Each sample detection now points to a detection-specific DRL evidence pack rather than only the generic template.
MET-012,Actor profiles with at least one evidence-register row,Actor register,21,count,2026-05-15,CTI Lead,Every actor_id in data/actors.csv now has at least one corresponding evidence-register record.
MET-013,Detections with committed lab test evidence,Detection backlog,4,count,2026-05-15,Detection Lead,All four sample detections have committed synthetic positive and negative lab evidence; no production telemetry replay is claimed.
MET-014,Detections with measured synthetic false-positive rate,Detection backlog,4,count,2026-05-15,Detection Lead,All four sample detections report 0.00% false-positive rate on deterministic benign fixtures only.
MET-015,Detections with real tenant or customer historical replay,Detection backlog,0,count,2026-05-15,Detection Lead,No real tenant/customer telemetry replay is committed; this is a known production-readiness blocker.
